,Unnamed: 0,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,poisonous
106,106,x,y,y,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,g,e
107,107,b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,m,e
108,108,b,y,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m,e
109,109,x,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,n,m,e
110,110,x,s,y,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,g,e
111,111,s,f,g,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,y,u,e
112,112,x,f,w,t,a,f,w,n,w,t,s,s,w,w,p,w,o,p,u,v,d,e
113,113,x,s,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m,e
114,114,x,y,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,n,v,u,p
115,115,x,y,y,t,l,f,c,b,p,e,s,y,w,w,p,w,o,p,n,s,g,e
116,116,s,f,g,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,n,y,u,e
117,117,x,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,g,e
118,118,x,s,y,t,l,f,w,n,p,t,s,s,w,w,p,w,o,p,u,v,d,e
119,119,s,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,y,u,e
120,120,x,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,g,p
121,121,x,y,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m,e
122,122,f,y,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,g,p
123,123,f,s,g,f,n,f,w,b,k,t,s,s,w,w,p,w,o,e,n,a,g,e
124,124,x,s,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m,e
125,125,x,s,w,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,k,s,g,e
126,126,b,s,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,g,e
127,127,f,f,g,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,n,a,g,e
128,128,x,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g,e
129,129,b,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m,e
130,130,b,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g,e
131,131,b,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,m,e
132,132,f,s,w,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,u,v,d,e
133,133,x,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m,e
134,134,f,s,w,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d,e
135,135,x,y,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,v,u,p
136,136,f,f,w,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d,e
137,137,x,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g,e
138,138,x,s,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,g,p
139,139,b,s,y,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,g,e
140,140,x,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,p,e
141,141,b,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m,e
142,142,s,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u,e
143,143,f,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,p,e
144,144,x,y,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,n,g,e
145,145,x,f,g,f,n,f,w,b,k,t,f,f,w,w,p,w,o,e,k,s,g,e
146,146,f,f,w,f,n,f,w,b,k,t,s,f,w,w,p,w,o,e,n,a,g,e
147,147,x,y,y,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m,e
148,148,b,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,n,g,e
149,149,b,y,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m,e
150,150,x,y,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g,e
151,151,x,s,n,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,n,a,g,e
152,152,x,y,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g,e
153,153,s,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,u,e
154,154,x,s,w,t,a,f,w,n,w,t,s,s,w,w,p,w,o,p,u,v,d,e
155,155,x,y,n,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,s,g,e
156,156,b,y,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,g,e
157,157,x,y,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,g,e
158,158,b,y,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,m,e
159,159,b,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g,e
160,160,b,s,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,m,e
161,161,b,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,g,e
162,162,x,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,y,u,e
163,163,f,y,n,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,g,e
164,164,x,y,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,g,e
165,165,f,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,p,e
166,166,b,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g,e
167,167,b,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,m,e
168,168,x,y,n,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,g,e
169,169,b,s,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,g,e
170,170,x,f,g,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,n,y,u,e
171,171,b,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,g,e
172,172,x,f,y,t,l,f,w,n,n,t,s,s,w,w,p,w,o,p,u,v,d,e
173,173,b,y,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g,e
174,174,f,y,y,t,l,f,c,b,p,e,s,y,w,w,p,w,o,p,n,s,g,e
175,175,b,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,m,e
176,176,b,y,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,n,m,e
177,177,b,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g,e
178,178,x,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m,e
179,179,b,s,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g,e
180,180,x,y,w,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u,p
181,181,s,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,n,y,u,e
182,182,f,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,v,u,e
183,183,x,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m,e
184,184,f,y,n,t,a,f,c,b,p,e,s,y,w,w,p,w,o,p,k,s,p,e
185,185,x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,g,p
186,186,b,s,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m,e
187,187,f,f,g,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,u,e
188,188,b,y,y,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g,e
189,189,x,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,p,e
190,190,x,f,w,f,n,f,w,b,p,t,s,f,w,w,p,w,o,e,k,s,g,e
191,191,x,s,w,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d,e
192,192,b,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,m,e
193,193,f,s,y,t,a,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d,e
194,194,x,s,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m,e
195,195,f,f,g,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,n,y,u,e
196,196,b,s,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,g,e
197,197,x,s,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m,e
198,198,x,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m,e
199,199,f,s,w,t,a,f,w,n,n,t,s,s,w,w,p,w,o,p,n,v,d,e
200,200,x,y,y,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g,e
201,201,b,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g,e
202,202,x,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,g,e
203,203,x,f,w,f,n,f,w,b,h,t,f,s,w,w,p,w,o,e,k,s,g,e
204,204,f,y,n,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,k,y,p,e
205,205,x,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u,p
206,206,b,s,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g,e
207,207,b,s,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,m,e
208,208,b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g,e
209,209,b,y,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,g,e
210,210,x,s,y,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g,e
211,211,b,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,m,e
212,212,x,f,y,t,a,f,w,n,n,t,s,s,w,w,p,w,o,p,n,v,d,e
213,213,x,f,g,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,n,y,u,e
214,214,f,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,s,g,e
215,215,b,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m,e
216,216,x,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,k,s,g,e
217,217,x,y,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,g,e
218,218,x,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g,e
219,219,s,f,g,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u,e
220,220,x,s,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m,e
221,221,x,s,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,g,p
222,222,x,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,s,g,e
223,223,f,f,w,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,n,v,d,e
224,224,x,y,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,m,e
225,225,b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,g,e
226,226,x,s,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,g,e
227,227,x,s,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,g,e
228,228,x,y,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,k,v,u,p
229,229,b,s,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g,e
230,230,x,f,g,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,k,y,u,e
231,231,x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,s,u,p
232,232,x,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,n,y,p,e
233,233,f,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,u,e
234,234,b,s,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,g,e
235,235,x,f,w,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,n,v,d,e
236,236,x,y,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g,e
237,237,b,y,y,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g,e
238,238,x,y,y,t,l,f,c,b,n,e,s,y,w,w,p,w,o,p,k,s,g,e
239,239,f,y,y,t,a,f,c,b,p,e,s,y,w,w,p,w,o,p,k,s,p,e
240,240,f,y,y,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,p,e
241,241,x,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,k,s,g,e
242,242,x,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m,e
243,243,x,s,w,t,p,f,c,n,n,e,s,s,w,w,p,w,o,p,k,v,u,p
244,244,f,f,w,t,a,f,w,n,p,t,s,s,w,w,p,w,o,p,u,v,d,e
245,245,x,s,w,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,g,e
246,246,x,s,w,t,l,f,w,n,p,t,s,s,w,w,p,w,o,p,u,v,d,e
247,247,x,y,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,k,s,m,e
248,248,f,y,y,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,k,y,p,e
249,249,x,s,n,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,k,s,g,e
250,250,f,y,y,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,g,e
251,251,x,s,n,t,p,f,c,n,p,e,s,s,w,w,p,w,o,p,n,s,g,p
252,252,s,f,n,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,n,v,u,e
253,253,b,y,y,t,l,f,c,b,w,e,s,s,w,w,p,w,o,p,n,s,m,e
254,254,b,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,g,e
255,255,b,y,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m,e
256,256,f,f,n,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,n,v,u,e
257,257,x,s,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,k,n,m,e
258,258,b,y,w,t,l,f,c,b,g,e,s,s,w,w,p,w,o,p,k,n,g,e
259,259,b,y,w,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,n,m,e
260,260,f,y,n,t,l,f,c,b,w,e,s,y,w,w,p,w,o,p,n,s,g,e
261,261,x,y,w,t,p,f,c,n,k,e,s,s,w,w,p,w,o,p,k,v,g,p
262,262,x,s,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,g,e
263,263,x,y,w,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,s,m,e
264,264,f,f,w,t,l,f,w,n,w,t,s,s,w,w,p,w,o,p,u,v,d,e
265,265,f,f,g,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,k,v,u,e
266,266,f,s,g,f,n,f,w,b,p,t,s,s,w,w,p,w,o,e,k,a,g,e
267,267,x,y,y,t,a,f,c,b,g,e,s,s,w,w,p,w,o,p,n,s,m,e
268,268,b,s,w,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,m,e
269,269,f,y,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,s,u,p
270,270,x,s,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m,e
271,271,f,s,n,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,k,v,u,p
272,272,x,y,w,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,s,g,e
273,273,x,y,y,t,a,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m,e
274,274,f,y,y,t,a,f,c,b,n,e,s,y,w,w,p,w,o,p,n,s,p,e
275,275,x,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,s,p,e
276,276,f,y,n,t,a,f,c,b,w,e,s,y,w,w,p,w,o,p,n,y,g,e
277,277,x,y,w,t,a,f,c,b,w,e,s,s,w,w,p,w,o,p,n,n,m,e
278,278,f,f,n,f,n,f,w,b,h,t,s,s,w,w,p,w,o,e,k,s,g,e
279,279,x,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,n,n,m,e
280,280,x,y,w,t,p,f,c,n,w,e,s,s,w,w,p,w,o,p,n,s,g,p
281,281,b,y,y,t,a,f,c,b,n,e,s,s,w,w,p,w,o,p,n,n,m,e
282,282,s,f,n,f,n,f,c,n,p,e,s,s,w,w,p,w,o,p,n,v,u,e
283,283,x,s,y,t,l,f,c,b,k,e,s,s,w,w,p,w,o,p,k,s,m,e
284,284,b,y,w,t,l,f,c,b,n,e,s,s,w,w,p,w,o,p,k,n,m,e
